disease,a,b,cosine,flagged
EPIE,EPIE.2,EPIE.4,0.14854455,True
EPIE,EPIE.1,EPIE.2,0.21790892,True
EPIE,EPIE.1,EPIE.4,0.2567572,True
VAN,VAN.1,VAN.3,0.2584126,True
PTEN,PTEN.3,PTEN.5,0.27278912,True
LAR,LAR.2,LAR.3,0.30012763,True
ZEL,ZEL.1,ZEL.5,0.33076346,True
EPIE,EPIE.1,EPIE.3,0.33131015,True
PON,PON.1,PON.4,0.335724,True
EPIE,EPIE.2,EPIE.3,0.35201418,True
DON,DON.2,DON.3,0.35612828,True
MOW,MOW.1,MOW.2,0.35674,True
EPIE,EPIE.3,EPIE.4,0.35863876,True
ANK,ANK.1,ANK.2,0.3842029,True
SAND,SAND.1,SAND.4,0.39151573,True
COF,COF.4,COF.5,0.40671253,True
LAR,LAR.1,LAR.2,0.40812123,True
APE,APE.1,APE.2,0.4152844,True
APE,APE.3,APE.4,0.42827606,True
DON,DON.1,DON.4,0.4375373,True
SAND,SAND.1,SAND.5,0.4408629,True
RES,RES.1,RES.5,0.44094932,True
MUL,MUL.1,MUL.5,0.44153363,True
PAR,PAR.1,PAR.3,0.44585323,True
DON,DON.3,DON.4,0.46080053,True
LAR,LAR.1,LAR.3,0.47273755,True
LEP,LEP.6,LEP.7,0.4738847,True
COM,COM.2,COM.3,0.48397434,True
ALPM,ALPM.3,ALPM.5,0.4850558,True
ROB,ROB.4,ROB.5,0.48795044,True
SUC,SUC.1,SUC.2,0.4945535,True
MPS,MPS.1,MPS.2,0.5005822,True
CSY,CSY.3,CSY.4,0.5018936,True
RES,RES.1,RES.4,0.5193702,True
ALPH,ALPH.1,ALPH.2,0.5214883,True
DON,DON.1,DON.3,0.5228694,True
RHO,RHO.1,RHO.2,0.52660954,True
LEP,LEP.3,LEP.4,0.52737695,True
RES,RES.4,RES.5,0.5286632,True
RES,RES.2,RES.5,0.52883387,True
APE,APE.1,APE.3,0.53120065,True
BARB,BARB.1,BARB.2,0.5333221,True
AAR,AAR.1,AAR.2,0.53698623,True
DON,DON.2,DON.4,0.5382459,True
RHO,RHO.3,RHO.4,0.5409428,True
RES,RES.2,RES.4,0.5417316,True
ALPM,ALPM.1,ALPM.4,0.54744416,True
COD,COD.4,COD.5,0.5495705,True
ROB,ROB.1,ROB.2,0.5530412,True
RES,RES.3,RES.4,0.5572533,True
COF,COF.3,COF.4,0.5637895,True
RES,RES.3,RES.5,0.5652665,True
ALP,ALP.1,ALP.5,0.565908,True
APE,APE.1,APE.4,0.5663617,True
BOY,BOY.3,BOY.4,0.56833047,True
ROB,ROB.3,ROB.5,0.5700046,True
ALPH,ALPH.2,ALPH.4,0.57622075,True
ALLA,ALLA.3,ALLA.4,0.57703555,True
ALPH,ALPH.2,ALPH.3,0.5779889,True
BARB,BARB.2,BARB.3,0.5782447,True
SAND,SAND.4,SAND.5,0.58289206,True
