hpo_id,hpo_name,feature,region,direction,n_pos,n_pos_capped,n_neg_capped,n_syndromes_pos,n_syndromes_neg,auc_cross,null_pct_cross,p_emp_cross,best_in_region,auc_best_in_region,auc_within,null_pct_within,p_emp_within,n_within_syn,n_within_pos,n_within_neg,verdict
HP:0012745,Short palpebral fissure,eye_fissure_length_mean,eye,-1,33,33,664,12,28,0.7393209200438116,100.0,0.0,eye_fissure_length_mean,0.7393209200438116,0.6090146750524109,86.41975308641975,0.13580246913580246,2.0,18.0,53.0,CROSS_ONLY
HP:0000194,Open mouth,mouth_opening,mouth,1,37,37,657,9,28,0.6884281541815789,100.0,0.0,mouth_opening,0.6884281541815789,0.6287037037037037,89.90825688073394,0.10091743119266056,1.0,27.0,40.0,CROSS_ONLY
HP:0045025,Narrow palpebral fissure,eye_fissure_height_mean,eye,-1,34,34,621,14,27,0.6783177038931515,100.0,0.0,eye_fissure_fill_l,0.7229800132613432,0.6152564956695536,82.71604938271605,0.1728395061728395,3.0,19.0,158.0,CROSS_ONLY
HP:0009765,Low hanging columella,columella_hang_below_ala,nose,1,41,41,661,8,29,0.7714844470683738,100.0,0.0,columella_length,0.7848049887458027,0.5364758698092031,36.44859813084112,0.6355140186915887,2.0,33.0,27.0,LIKELY_COHORT
HP:0000276,Long face,face_aspect_ratio,face_global,-1,90,76,625,18,26,0.7624,100.0,0.0,face_aspect_ratio,0.7624,0.5641025641025641,68.0672268907563,0.31932773109243695,3.0,65.0,39.0,LIKELY_COHORT
HP:0000160,Narrow mouth,mouth_width,mouth,-1,64,64,582,12,25,0.7262940292096219,100.0,0.0,mouth_width,0.7262940292096219,0.517825311942959,17.431192660550458,0.8256880733944955,3.0,51.0,66.0,LIKELY_COHORT
HP:0000232,Everted lower lip vermilion,lower_lip_eversion,mouth,1,67,64,589,8,26,0.6791702037351444,100.0,0.0,lower_vermilion_height,0.6825657894736842,0.55103668261563,74.31192660550458,0.25688073394495414,3.0,57.0,132.0,LIKELY_COHORT
HP:0012471,Thick vermilion border,vermilion_total,mouth,1,50,50,656,14,28,0.6590243902439025,98.1651376146789,0.01834862385321101,upper_lip_eversion,0.6717073170731708,0.5798525798525799,84.40366972477065,0.1559633027522936,3.0,33.0,74.0,LIKELY_COHORT
HP:0003196,Short nose,nose_length,nose,-1,168,161,381,21,18,0.6532987724360542,95.32710280373831,0.04672897196261682,columella_hang_below_ala,0.7047488629138748,0.49601206108355217,8.411214953271028,0.9158878504672897,9.0,149.0,276.0,LIKELY_COHORT
HP:0002714,Downturned corners of mouth,mouth_corner_drop,mouth,1,58,58,593,15,25,0.6656684305402105,88.07339449541286,0.11926605504587157,mouth_upper_curvature_c2,0.6834040821073443,0.5374474053295932,27.522935779816514,0.7247706422018348,2.0,31.0,115.0,NO_SIGNAL
HP:0002553,Highly arched eyebrow,eb_arch_mean,eyebrow,1,114,110,475,17,21,0.6482105263157895,99.04761904761905,0.009523809523809525,eb_arch_mean,0.6482105263157895,0.59170407057731,93.33333333333333,0.06666666666666667,4.0,91.0,142.0,NO_SIGNAL
HP:0000233,Thin vermilion border,vermilion_total,mouth,-1,67,67,520,13,23,0.6409586681974742,90.82568807339449,0.09174311926605505,lower_vermilion_height,0.6562858783008036,0.49031074418071324,12.844036697247708,0.8715596330275229,4.0,51.0,171.0,NO_SIGNAL
HP:0010804,Tented upper lip vermilion,mouth_tenting,mouth,1,53,50,598,13,25,0.6332107023411371,99.08256880733946,0.009174311926605505,mouth_upper_curvature_c2,0.6376923076923077,0.5916305916305916,80.73394495412845,0.1926605504587156,1.0,33.0,21.0,NO_SIGNAL
HP:0000316,Hypertelorism,inter_pupillary_distance,face_global,1,252,215,156,34,7,0.631902206320811,94.11764705882352,0.058823529411764705,inter_pupillary_distance,0.631902206320811,0.5497164786070222,68.0672268907563,0.31932773109243695,7.0,158.0,221.0,NO_SIGNAL
HP:0000179,Thick lower lip vermilion,lower_vermilion_height,mouth,1,103,103,544,10,24,0.6245359794403198,95.41284403669725,0.045871559633027525,cupid_bow_drop,0.6326741861793261,0.5556786703601108,89.90825688073394,0.10091743119266056,6.0,95.0,247.0,NO_SIGNAL
HP:0000341,Narrow forehead,forehead_width_upper,forehead,-1,44,44,539,15,23,0.6210153482880756,80.83333333333333,0.19166666666666668,forehead_width_mid,0.6232501264968797,0.4232142857142857,70.83333333333334,0.2916666666666667,2.0,16.0,70.0,NO_SIGNAL
