hpo_name,region,mapped,candidate,cand_stability,auc_mapped_held,auc_cand_held,null_cand_held,gain,n_splits,n_pos_held,confirmed
Broad nasal tip,nose,nose_tip_width,nose_tip_midline_dent,0.8,0.36669136026558036,0.6719959025405627,94.07407407407408,0.3053045422749824,5,37,False
Epicanthus,eye,eye_epicanthus_angle_mean,gaze_asym_x,0.6,0.4319888513761373,0.6965679582482397,99.01234567901234,0.2645791068721024,5,53,True
Short columella,nose,columella_length,ala_flare_angle,0.33,0.3700482125737085,0.5947074357531773,58.02469135802469,0.2246592231794688,3,16,False
Micrognathia,chin_jaw,chin_height,jaw_to_forehead_ratio,0.6,0.4168416581179817,0.5873983256545973,70.41322314049587,0.17055666753661558,5,66,False
Depressed nasal tip,nose,nose_tip_elevation,nostril_region_area,1.0,0.5048286604361371,0.659190031152648,88.88888888888889,0.1543613707165109,1,15,False
Anteverted nares,nose,nasolabial_angle,nose_length,0.8,0.5433899528427435,0.6929893559400625,99.07407407407408,0.149599403097319,5,126,True
High forehead,forehead,forehead_height,forehead_width_mid,0.6,0.44621462854576366,0.582986974816379,57.355371900826455,0.1367723462706153,5,32,False
Eversion of lateral third of lower eyelids,eye,eye_lower_lid_to_iris_mean,gaze_asym_x,0.6,0.5093313945178007,0.6403122269508726,72.83950617283949,0.1309808324330719,5,21,False
Thick eyebrow,eyebrow,eb_thickness_mean,eb_thickness_asym,0.4,0.433194453292055,0.5402282348353625,38.679245283018865,0.1070337815433075,5,55,False
Long palpebral fissure,eye,eye_fissure_length_mean,iris_offset_y_r,0.6,0.5043068520294396,0.5872363533929137,65.18518518518519,0.0829295013634741,5,35,False
Ptosis,eye,eye_upper_lid_to_iris_mean,canthal_index,0.2,0.5825795641243195,0.6466663351858986,84.44444444444444,0.064086771061579,5,76,False
Short nose,nose,nose_length,nose_tip_midline_dent,0.8,0.6017233070092473,0.6523847028028225,93.88888888888889,0.050661395793575204,5,82,False
Wide nasal bridge,nose,nose_bridge_width,ala_flare_angle,0.4,0.5387496798008827,0.562022507677081,66.85185185185186,0.02327282787619822,5,66,False
Narrow palpebral fissure,eye,eye_fissure_height_mean,eye_fissure_fill_l,1.0,0.668424317617866,0.6876550868486352,100.0,0.019230769230769162,1,16,False
Thin upper lip vermilion,mouth,upper_vermilion_height,upper_lip_eversion,0.6,0.6014682750759789,0.6044825359971969,94.18181818181817,0.003014260921218037,5,96,False
Wide nasal base,nose,nose_base_width,nose_bridge_width,0.67,0.5238926632179287,0.5249803556632089,36.41975308641975,0.001087692445280175,3,19,False
Wide mouth,mouth,mouth_width,mouth_width,1.0,0.6893329303046086,0.6893329303046086,99.63636363636364,0.0,5,85,False
Pointed chin,chin_jaw,chin_pointedness_angle,chin_pointedness_angle,1.0,0.6208840480129885,0.6208840480129885,97.02479338842974,0.0,5,42,False
Low anterior hairline,forehead,hairline_height,forehead_height,1.0,0.6401654368327705,0.6401654368327705,93.05785123966942,0.0,5,37,False
Narrow mouth,mouth,mouth_width,mouth_width,1.0,0.7133328718729973,0.7133328718729973,100.0,0.0,5,31,False
Long face,face_global,face_aspect_ratio,face_aspect_ratio,1.0,0.7799851904109959,0.7799851904109959,100.0,0.0,5,45,False
Short philtrum,philtrum,philtrum_length,philtrum_length,1.0,0.737861978403131,0.737861978403131,100.0,0.0,5,37,False
Hypertelorism,face_global,inter_pupillary_distance,inter_pupillary_distance,1.0,0.6274792786053014,0.6274792786053014,94.33333333333333,0.0,5,121,False
Short palpebral fissure,eye,eye_fissure_length_mean,eye_fissure_length_mean,1.0,0.7531192381206525,0.7531192381206525,100.0,0.0,3,17,False
Long philtrum,philtrum,philtrum_length,philtrum_length,1.0,0.8021064232647588,0.8021064232647588,100.0,0.0,5,110,False
Downslanted palpebral fissures,eye,eye_fissure_slant_mean,eye_fissure_slant_mean,0.8,0.6979448836776684,0.6966148344165848,99.75308641975309,-0.001330049261083599,5,110,False
Triangular face,face_global,face_triangularity,face_triangularity,0.6,0.6867958918332862,0.6844381064572386,96.16666666666667,-0.002357785376047583,5,85,False
Thin vermilion border,mouth,vermilion_total,lower_vermilion_height,0.6,0.6630090617321225,0.6588422717947094,88.18181818181817,-0.00416678993741304,5,36,False
Upslanted palpebral fissure,eye,eye_fissure_slant_mean,eye_fissure_slant_mean,0.6,0.7094359881896667,0.7024096133184968,98.5185185185185,-0.00702637487116986,5,30,False
Thick lower lip vermilion,mouth,lower_vermilion_height,mouth_width,0.6,0.6227964988207791,0.6111773060776488,81.0909090909091,-0.011619192743130391,5,54,False
Synophrys,eyebrow,eb_inter_distance,eb_lateral_thickness_mean,0.6,0.5696923731160247,0.55672610615556,41.32075471698113,-0.012966266960464767,5,67,False
Low hanging columella,nose,columella_hang_below_ala,nose_length,0.4,0.7523096382304628,0.7386527368140656,95.55555555555556,-0.013656901416397194,5,20,False
Narrow forehead,forehead,forehead_width_upper,forehead_width_mid,0.8,0.6516141152615192,0.633491998548558,76.19834710743801,-0.018122116712961267,5,23,False
Open mouth,mouth,mouth_opening,mouth_opening,0.75,0.6877709307016753,0.6678035910342168,90.68181818181819,-0.01996733966745845,4,18,False
Downturned corners of mouth,mouth,mouth_corner_drop,cupid_bow_drop,0.4,0.6658097248009419,0.6455628519102502,73.63636363636364,-0.020246872890691714,5,28,False
Everted lower lip vermilion,mouth,lower_lip_eversion,lower_lip_eversion,0.4,0.6935649788383424,0.6722143008605415,94.72727272727272,-0.02135067797780099,5,37,False
Highly arched eyebrow,eyebrow,eb_arch_mean,eb_arch_mean,0.6,0.6537411074085316,0.6315718958085218,96.41509433962264,-0.02216921160000984,5,62,False
Full cheeks,cheek_midface,cheek_area_mean,cheek_area_asym,0.4,0.5048916069223139,0.48141929860232774,37.0940170940171,-0.0234723083199862,5,27,False
Short chin,chin_jaw,chin_height,chin_height,0.25,0.5831020303470571,0.5567968009237396,46.69421487603306,-0.026305229423317478,4,18,False
Strabismus,eye,gaze_asym_norm,iris_offset_y_r,0.4,0.5538255349357424,0.5263202752048812,36.54320987654321,-0.027505259730861153,5,92,False
Broad forehead,forehead,forehead_width_upper,forehead_height,0.6,0.616361239693559,0.5861250116135364,80.0,-0.030236228080022687,5,34,False
Bulbous nose,nose,nose_tip_to_bridge_ratio,nose_tip_width,0.4,0.5895608299760587,0.5575543439653783,64.44444444444446,-0.03200648601068046,5,55,False
Thick vermilion border,mouth,vermilion_total,upper_lip_eversion,0.4,0.6384043890035705,0.5965395571851865,69.63636363636363,-0.041864831818384074,5,22,False
Exaggerated cupid's bow,mouth,cupid_bow_drop,lower_lip_eversion,0.4,0.5846696139675692,0.5353153280611898,45.63636363636364,-0.04935428590637947,5,22,False
Wide nose,nose,nose_base_width,nose_tip_width,0.4,0.6010732819472631,0.546934679262032,45.925925925925924,-0.054138602685231074,5,20,False
Tented upper lip vermilion,mouth,mouth_tenting,cupid_bow_peak_asym,0.4,0.6275960789524497,0.5695661815744435,58.363636363636374,-0.058029897378006234,5,27,False
Malar flattening,cheek_midface,malar_bulge_mean,midface_width,1.0,0.4291164658634538,0.3640562248995984,83.76068376068376,-0.06506024096385543,1,15,False
