hpo_name,feature,denom,auc_bizyg,null_bizyg,auc_iod,null_iod,delta,canthal_index_auc
Broad nasal tip,nose_tip_width,bizyg,0.40457478005865105,78.50467289719626,0.5131964809384164,14.018691588785046,0.10862170087976536,
Thick eyebrow,eb_thickness_mean,bizyg2,0.45664752601588454,59.04761904761905,0.5107693661584494,16.19047619047619,0.054121840142564825,
Micrognathia,chin_height,face_h,0.42123931623931626,73.33333333333333,0.469017094017094,42.5,0.04777777777777775,
Full cheeks,cheek_area_mean,bizyg2,0.48412816691505217,15.517241379310345,0.5233233979135619,34.48275862068966,0.03919523099850969,
Wide nose,nose_base_width,bizyg,0.6019129603060737,98.13084112149532,0.6159253945480632,99.06542056074767,0.014012434241989502,
Long palpebral fissure,eye_fissure_length_mean,bizyg,0.5468832961665073,53.086419753086425,0.560518211744717,58.0246913580247,0.013634915578209728,
Wide mouth,mouth_width,bizyg,0.6727100271002711,99.08256880733946,0.6729132791327913,99.08256880733946,0.00020325203252025137,
Long face,face_aspect_ratio,face_h,0.7717263157894737,100.0,0.7717263157894737,100.0,0.0,
Hypertelorism,inter_pupillary_distance,bizyg,0.6228980322003578,90.75630252100841,0.6228980322003578,84.03361344537815,0.0,0.6699761478831247
Narrow palpebral fissure,eye_fissure_height_mean,bizyg,0.6724921852799091,100.0,0.6688926778440845,100.0,-0.0035995074358246004,
Synophrys,eb_inter_distance,bizyg,0.5546328671328671,52.38095238095239,0.5481185481185481,47.61904761904761,-0.006514319014318981,
Narrow mouth,mouth_width,bizyg,0.7279853951890034,100.0,0.7148034793814433,100.0,-0.013181915807560118,
Depressed nasal tip,nose_tip_elevation,bizyg,0.49590075512405607,3.7383177570093453,0.48203883495145633,8.411214953271028,-0.01386192017259974,
Low anterior hairline,hairline_height,face_h,0.6307722842147047,95.83333333333334,0.6150046310589689,92.5,-0.015767653155735806,
Wide nasal bridge,nose_bridge_width,bizyg,0.5546813532651456,80.37383177570094,0.5312527318821575,53.271028037383175,-0.02342862138298807,
Malar flattening,malar_bulge_mean,bizyg,0.5282907662082514,32.758620689655174,0.49325474787164375,6.896551724137931,-0.03503601833660769,
Short chin,chin_height,face_h,0.5965714285714285,86.66666666666667,0.5573333333333333,60.0,-0.03923809523809518,
Short nose,nose_length,face_h,0.6543095156583688,95.32710280373831,0.613944996005934,85.98130841121495,-0.040364519652434816,
High forehead,forehead_height,face_h,0.4352214338145339,47.5,0.39157695130902864,84.16666666666667,-0.04364448250550523,
Broad forehead,forehead_width_upper,bizyg,0.6146043239181666,100.0,0.5653540079920762,79.16666666666666,-0.049250315926090305,
Wide nasal base,nose_base_width,bizyg,0.5512553974092436,63.55140186915887,0.49836078682232526,1.8691588785046727,-0.0528946105869183,
Short palpebral fissure,eye_fissure_length_mean,bizyg,0.7364914202263599,100.0,0.6124041621029573,69.1358024691358,-0.1240872581234026,
Narrow forehead,forehead_width_upper,bizyg,0.6271715297689323,81.66666666666667,0.46141845167819195,39.166666666666664,-0.16575307809074036,
