hpo_id,hpo_name,feature,direction,arm,n_patients,n_gold_patients,z,se,p,rank,n_features,q,direction_ok,passed,specific
HP:0012801,Narrow jaw,jaw_bigonial_width,-1,DISEASE,56,0,0.7654511232984398,0.11829639296884903,2.7690059237315184e-08,17.0,120,3.6920078983086914e-08,True,True,True
HP:0007946,Unilateral narrow palpebral fissure,eye_fissure_length_asym,1,DISEASE,44,0,-0.17269723950556673,0.13454547111280069,0.20616999452991516,102.0,120,0.20616999452991516,False,False,False
HP:0000204,Cleft upper lip,lip_midline_x_std,1,DISEASE,139,0,-0.481931416871709,0.04703501200768655,1.1379024104541494e-18,15.0,120,4.551609641816598e-18,False,False,False
HP:0000161,Median cleft upper lip,lip_midline_x_std,1,DISEASE,72,0,-0.5057745169244732,0.06336950832380348,1.8108434627656855e-11,35.0,120,3.621686925531371e-11,False,False,False
HP:0000202,Orofacial cleft,lip_midline_x_std,1,DISEASE,0,0,,,,,120,,False,False,False
HP:0000456,Bifid nasal tip,nose_tip_midline_dent,1,DISEASE,14,0,,,,,120,,False,False,False
HP:0002006,Tessier cleft,lip_midline_x_std,1,DISEASE,16,0,,,,,120,,False,False,False
HP:0002010,Narrow maxilla,midface_width,-1,DISEASE,13,0,,,,,120,,False,False,False
HP:0007633,Bilateral microphthalmos,eye_area_mean,-1,DISEASE,9,0,,,,,120,,False,False,False
HP:0007651,Ectropion of lower eyelids,eye_lower_lid_to_iris_mean,1,DISEASE,0,0,,,,,120,,False,False,False
HP:0009927,Aplasia of the nose,nose_to_face_area_ratio,-1,DISEASE,16,0,,,,,120,,False,False,False
HP:0031623,Brow ptosis,eb_position_mean,-1,DISEASE,0,0,,,,,120,,False,False,False
HP:0033142,Long nasal bridge,nose_bridge_length,1,DISEASE,18,0,,,,,120,,False,False,False
HP:0200096,Triangular-shaped open mouth,mouth_triangularity,1,DISEASE,22,0,,,,,120,,False,False,False
HP:0000283,Broad face,face_aspect_ratio,1,GOLD,5,5,1.424150182856798,0.27021992615558543,0.006210721018221954,5.0,120,0.019129020736123617,True,True,True
HP:0003189,Long nose,nose_length,1,GOLD,9,9,1.36729355643356,0.3949611338452394,0.008544591738696102,1.0,120,0.02436790977331851,True,True,True
HP:0012471,Thick vermilion border,vermilion_total,1,GOLD,36,36,1.228136105250261,0.20804777411776998,1.035790180680648e-06,5.0,120,7.2505312647645355e-06,True,True,True
HP:0000343,Long philtrum,philtrum_length,1,GOLD,128,128,1.157808614234565,0.08039318237401058,1.7801606523639079e-28,1.0,120,1.370723702320209e-26,True,True,True
HP:0000582,Upslanted palpebral fissure,eye_fissure_slant_mean,1,GOLD,38,38,1.0839911187872515,0.13882659426471336,2.4434022907305904e-09,1.0,120,3.1356996064375906e-08,True,True,True
HP:0000316,Hypertelorism,inter_pupillary_distance,1,GOLD,148,148,1.01625072264646,0.1171309504160759,7.0520403102669585e-15,3.0,120,1.8100236796351862e-13,True,True,True
HP:0000179,Thick lower lip vermilion,lower_vermilion_height,1,GOLD,57,57,0.9972785976572293,0.12346994280153181,5.774197261277427e-11,5.0,120,1.1115329727959046e-09,True,True,True
HP:0000232,Everted lower lip vermilion,lower_lip_eversion,1,GOLD,37,37,0.943454114339172,0.14405484113588804,1.2903880908501396e-07,3.0,120,1.103998699949564e-06,True,True,True
HP:0000347,Micrognathia,chin_height,-1,GOLD,70,70,0.8472005573877178,0.11164085291774065,1.1291851404059865e-10,1.0,120,1.738945116225219e-09,True,True,True
HP:0000325,Triangular face,face_triangularity,1,GOLD,101,101,0.8395900684607589,0.08208180152170769,3.1222153408683705e-17,11.0,120,1.2020529062343227e-15,True,True,True
HP:0000275,Narrow face,face_aspect_ratio,-1,GOLD,5,5,0.7802363459707864,0.1853300109646047,0.01358634830348063,52.0,120,0.03374673610864543,True,True,False
HP:0000581,Blepharophimosis,eye_fissure_length_mean,-1,GOLD,12,12,0.6872325024467548,0.1790350850361943,0.0027534847231800194,10.0,120,0.01009611065166007,True,True,True
HP:0007655,Eversion of lateral third of lower eyelids,eye_lower_lid_to_iris_mean,1,GOLD,18,18,0.6756361668032678,0.15545015119062106,0.00043898528750353994,23.0,120,0.002112616696110786,True,True,True
HP:0000311,Round face,face_roundness,1,GOLD,8,8,0.6746271859183957,0.17973572948899688,0.0071359244461322675,17.0,120,0.021133314705853255,True,True,True
HP:0000574,Thick eyebrow,eb_thickness_mean,1,GOLD,63,63,0.6733445749761251,0.12081002357069331,5.772901018724016e-07,9.0,120,4.445133784417492e-06,True,True,True
HP:0000331,Short chin,chin_height,-1,GOLD,10,10,0.6506310370546983,0.21043692423570778,0.012891740996883673,13.0,120,0.03308880189200143,True,True,True
