hpo_id,hpo_name,feature,direction,arm,n_patients,n_gold_patients,z,se,p,rank,n_features,q,direction_ok,passed,specific
HP:0012801,Narrow jaw,jaw_bigonial_width,-1,DISEASE,56,0,0.7510096221056509,0.11210712023770546,1.1729256540984982e-08,15.0,120,1.563900872131331e-08,True,True,True
HP:0007946,Unilateral narrow palpebral fissure,eye_fissure_length_asym,1,DISEASE,44,0,-0.140887691288667,0.14114772769273862,0.3237870013820328,103.0,120,0.3237870013820328,False,False,False
HP:0000204,Cleft upper lip,lip_midline_x_std,1,DISEASE,139,0,-0.5079338791797738,0.04685718443889513,3.4453404877475347e-20,17.0,120,1.3781361950990139e-19,False,False,False
HP:0000161,Median cleft upper lip,lip_midline_x_std,1,DISEASE,72,0,-0.5234142917147124,0.06273013479321056,3.850170330161598e-12,37.0,120,7.700340660323196e-12,False,False,False
HP:0000202,Orofacial cleft,lip_midline_x_std,1,DISEASE,0,0,,,,,120,,False,False,False
HP:0000456,Bifid nasal tip,nose_tip_midline_dent,1,DISEASE,14,0,,,,,120,,False,False,False
HP:0002006,Tessier cleft,lip_midline_x_std,1,DISEASE,16,0,,,,,120,,False,False,False
HP:0002010,Narrow maxilla,midface_width,-1,DISEASE,13,0,,,,,120,,False,False,False
HP:0007633,Bilateral microphthalmos,eye_area_mean,-1,DISEASE,9,0,,,,,120,,False,False,False
HP:0007651,Ectropion of lower eyelids,eye_lower_lid_to_iris_mean,1,DISEASE,0,0,,,,,120,,False,False,False
HP:0009927,Aplasia of the nose,nose_to_face_area_ratio,-1,DISEASE,16,0,,,,,120,,False,False,False
HP:0031623,Brow ptosis,eb_position_mean,-1,DISEASE,0,0,,,,,120,,False,False,False
HP:0033142,Long nasal bridge,nose_bridge_length,1,DISEASE,18,0,,,,,120,,False,False,False
HP:0200096,Triangular-shaped open mouth,mouth_triangularity,1,DISEASE,22,0,,,,,120,,False,False,False
HP:0000343,Long philtrum,philtrum_length,1,GOLD,128,128,1.226692556311002,0.08045435269920347,1.7731426525991583e-30,1.0,120,1.365319842501352e-28,True,True,True
HP:0003189,Long nose,nose_length,1,GOLD,9,9,1.1872126392656384,0.32269056398862633,0.006227176691630865,4.0,120,0.01775898537983617,True,True,True
HP:0012471,Thick vermilion border,vermilion_total,1,GOLD,36,36,1.1503974306281248,0.2071516692473251,2.9964045848392025e-06,4.0,120,1.693507047489099e-05,True,True,True
HP:0000582,Upslanted palpebral fissure,eye_fissure_slant_mean,1,GOLD,38,38,1.1228794916653777,0.14106649979469105,1.5534967652783537e-09,1.0,120,1.993654182107221e-08,True,True,True
HP:0000347,Micrognathia,chin_height,-1,GOLD,70,70,1.0197380288878182,0.10052032355455658,2.573407880171795e-15,1.0,120,6.605080225774274e-14,True,True,True
HP:0000179,Thick lower lip vermilion,lower_vermilion_height,1,GOLD,57,57,0.9533376104020775,0.12244675298522113,1.7425567504847495e-10,5.0,120,2.683537395746514e-09,True,True,True
HP:0000232,Everted lower lip vermilion,lower_lip_eversion,1,GOLD,37,37,0.9261120748904634,0.1413594315213574,1.2817546802868194e-07,2.0,120,9.86951103820851e-07,True,True,True
HP:0000275,Narrow face,face_aspect_ratio,-1,GOLD,5,5,0.9235655421617771,0.0928804130753009,0.0005744438939037977,19.0,120,0.002457343323921801,True,True,True
HP:0000316,Hypertelorism,inter_pupillary_distance,1,GOLD,148,148,0.9098272335531311,0.11260917533549594,2.1752249926032602e-13,6.0,120,4.187308110761276e-12,True,True,True
HP:0000325,Triangular face,face_triangularity,1,GOLD,101,101,0.8401708470419589,0.07891727352261675,3.807968609278625e-18,7.0,120,1.4660679145722705e-16,True,True,True
HP:0007655,Eversion of lateral third of lower eyelids,eye_lower_lid_to_iris_mean,1,GOLD,18,18,0.7123502270612956,0.1439715155353265,0.00012222764796281565,20.0,120,0.0005536193466551062,True,True,True
HP:0000581,Blepharophimosis,eye_fissure_length_mean,-1,GOLD,12,12,0.6920439395820641,0.16693796580767156,0.0016287642199276234,11.0,120,0.00627074224672135,True,True,True
HP:0000160,Narrow mouth,mouth_width,-1,GOLD,46,46,0.6889158721404445,0.10018445272080646,1.554010225846387e-08,7.0,120,1.7094112484310258e-07,True,True,True
HP:0000311,Round face,face_roundness,1,GOLD,8,8,0.6851732049938536,0.16095566132658026,0.0037609203307622206,14.0,120,0.01158363461874764,True,True,True
HP:0000331,Short chin,chin_height,-1,GOLD,10,10,0.6571154324379398,0.1748678440222978,0.004500354997831655,10.0,120,0.013327974416655286,True,True,True
HP:0000233,Thin vermilion border,vermilion_total,-1,GOLD,35,35,0.6524907355457039,0.14140600366385353,5.402117487115638e-05,5.0,120,0.0002599769040674401,True,True,True
HP:0000337,Broad forehead,forehead_width_upper,1,GOLD,31,31,0.6433469241507688,0.19947365063471736,0.0030345016837042774,19.0,120,0.010158983897618669,True,True,True
