hpo_id,hpo_name,feature,direction,arm,n_patients,n_gold_patients,z,se,p,rank,n_features,q,direction_ok,passed,specific
HP:0012801,Narrow jaw,jaw_bigonial_width,-1,DISEASE,63,0,0.749644243093703,0.09546003871527604,7.121316540022913e-11,27.0,120,1.7803291350057282e-10,True,True,True
HP:0007946,Unilateral narrow palpebral fissure,eye_fissure_length_asym,1,DISEASE,37,0,-0.2413641909807313,0.133973758200363,0.07999201432541997,96.0,120,0.09999001790677496,False,False,False
HP:0033142,Long nasal bridge,nose_bridge_length,1,DISEASE,33,0,-0.26764114499587766,0.1826500605341654,0.15259045438556587,50.0,120,0.15259045438556587,False,False,False
HP:0000204,Cleft upper lip,lip_midline_x_std,1,DISEASE,223,0,-0.5079504897297475,0.03542819347149642,1.9471996236060114e-33,12.0,120,9.735998118030057e-33,False,False,False
HP:0007633,Bilateral microphthalmos,eye_area_mean,-1,DISEASE,34,0,-0.6138884230535296,0.12804547896628463,3.377602541249074e-05,29.0,120,5.629337568748457e-05,False,False,False
HP:0000202,Orofacial cleft,lip_midline_x_std,1,DISEASE,0,0,,,,,120,,False,False,False
HP:0000456,Bifid nasal tip,nose_tip_midline_dent,1,DISEASE,13,0,,,,,120,,False,False,False
HP:0002006,Tessier cleft,lip_midline_x_std,1,DISEASE,22,0,,,,,120,,False,False,False
HP:0002010,Narrow maxilla,midface_width,-1,DISEASE,14,0,,,,,120,,False,False,False
HP:0007651,Ectropion of lower eyelids,eye_lower_lid_to_iris_mean,1,DISEASE,0,0,,,,,120,,False,False,False
HP:0009927,Aplasia of the nose,nose_to_face_area_ratio,-1,DISEASE,22,0,,,,,120,,False,False,False
HP:0031623,Brow ptosis,eb_position_mean,-1,DISEASE,0,0,,,,,120,,False,False,False
HP:0200096,Triangular-shaped open mouth,mouth_triangularity,1,DISEASE,28,0,,,,,120,,False,False,False
HP:0012471,Thick vermilion border,vermilion_total,1,GOLD,32,32,1.6173319531646748,0.20951158143712442,1.0432068274931205e-08,5.0,120,6.276733487836332e-08,True,True,True
HP:0003189,Long nose,nose_length,1,GOLD,15,15,1.584420374668683,0.25432581631175993,2.2001918148701905e-05,1.0,120,7.753056871447338e-05,True,True,True
HP:0000232,Everted lower lip vermilion,lower_lip_eversion,1,GOLD,49,49,1.4811315431079557,0.13548855617839903,1.2651649504782322e-14,2.0,120,1.56037010558982e-13,True,True,True
HP:0000179,Thick lower lip vermilion,lower_vermilion_height,1,GOLD,87,87,1.4728538120001151,0.10527286100818879,7.081285128312029e-24,1.0,120,2.6200754974754504e-22,True,True,True
HP:0000316,Hypertelorism,inter_pupillary_distance,1,GOLD,194,194,1.3082274865195245,0.12155751193398169,1.8489455093315578e-21,1.0,120,3.420549192263382e-20,True,True,True
HP:0000343,Long philtrum,philtrum_length,1,GOLD,171,171,1.2939413219771563,0.08172865391291403,2.825145064731349e-35,1.0,120,2.090607347901198e-33,True,True,True
HP:0000582,Upslanted palpebral fissure,eye_fissure_slant_mean,1,GOLD,47,47,1.2247187383113571,0.12808381289623447,1.6591200799516055e-12,1.0,120,1.534686073955235e-11,True,True,True
HP:0011229,Broad eyebrow,eb_thickness_mean,1,GOLD,9,9,1.1516836700022317,0.41208213684646444,0.023384874880276536,6.0,120,0.04437130105488368,True,True,True
HP:0000215,Thick upper lip vermilion,upper_vermilion_height,1,GOLD,9,9,1.1045517387295254,0.3557593171854064,0.014560205808327726,7.0,120,0.029929311939340324,True,True,True
HP:0007655,Eversion of lateral third of lower eyelids,eye_lower_lid_to_iris_mean,1,GOLD,36,36,0.951497606797742,0.09814794886508234,1.8971394053690387e-11,11.0,120,1.5598701777478764e-10,True,True,True
HP:0000337,Broad forehead,forehead_width_upper,1,GOLD,40,40,0.943277479455406,0.15803854338746617,5.725096414463546e-07,6.0,120,2.4921007921782493e-06,True,True,True
HP:0000331,Short chin,chin_height,-1,GOLD,26,26,0.9337994585368027,0.17084765046253514,1.1226658109871068e-05,1.0,120,4.372487895423469e-05,True,True,True
HP:0000347,Micrognathia,chin_height,-1,GOLD,92,92,0.9268339125027585,0.0996281374123694,7.334586318867128e-15,1.0,120,1.085518775192335e-13,True,True,True
HP:0000454,Flared nostrils,ala_flare_angle,1,GOLD,5,5,0.8360440438467099,0.16559483032662062,0.0072375228608394584,7.0,120,0.01673677161569125,True,True,True
HP:0000431,Wide nasal bridge,nose_bridge_width,1,GOLD,108,108,0.8105279707703352,0.09450548890375435,8.29510581672968e-14,3.0,120,8.769111863399948e-13,True,True,True
HP:0000325,Triangular face,face_triangularity,1,GOLD,133,133,0.8093813863359902,0.06780824231844937,9.92792057484594e-23,24.0,120,2.448887075128665e-21,True,True,True
HP:0000637,Long palpebral fissure,eye_fissure_length_mean,1,GOLD,68,68,0.777610342897076,0.13616834110616713,2.8039446742548814e-07,4.0,120,1.2968244118428826e-06,True,True,True
HP:0000275,Narrow face,face_aspect_ratio,-1,GOLD,15,15,0.7642531200651863,0.126999004077426,3.156808921586725e-05,34.0,120,0.00010618357281700803,True,True,False
HP:0000574,Thick eyebrow,eb_thickness_mean,1,GOLD,80,80,0.7605760735841535,0.11916659842747251,1.1026693965117881e-08,8.0,120,6.276733487836332e-08,True,True,True
HP:0002263,Exaggerated cupid's bow,cupid_bow_drop,1,GOLD,38,38,0.7436652409854808,0.15955874929950595,4.002713765239086e-05,25.0,120,0.0001287829646207358,True,True,True
HP:0000321,Square face,face_width_uniformity,1,GOLD,12,12,0.7428687889083054,0.2608273521842543,0.015849818363209044,5.0,120,0.03169963672641809,True,True,True
HP:0000160,Narrow mouth,mouth_width,-1,GOLD,41,41,0.69023661417947,0.10915552453583888,1.6591608097532796e-07,12.0,120,8.185193328116179e-07,True,True,True
HP:0000276,Long face,face_aspect_ratio,-1,GOLD,58,58,0.6852649688665643,0.09758323761653824,2.920264190202663e-09,35.0,120,1.9645413643181552e-08,True,True,False
HP:0000581,Blepharophimosis,eye_fissure_length_mean,-1,GOLD,19,19,0.5501089073200813,0.14015541152571942,0.000992571028537903,22.0,120,0.0027157449545037672,True,True,True
HP:0000486,Strabismus,gaze_asym_norm,1,GOLD,128,128,0.5121289265427831,0.11554394625627935,1.9933123226876237e-05,27.0,120,7.375255593944209e-05,True,True,True
HP:0000154,Wide mouth,mouth_width,1,GOLD,132,132,0.46046046134961677,0.06966969789668696,8.876829471288839e-10,44.0,120,6.56885380875374e-09,True,True,False
HP:0002553,Highly arched eyebrow,eb_arch_mean,1,GOLD,82,82,0.45793444255970844,0.11060646173424042,8.451089750023537e-05,53.0,120,0.0002605752672923924,True,True,False
HP:0009765,Low hanging columella,columella_hang_below_ala,1,GOLD,37,37,0.4358832578270336,0.12253745374815693,0.0010728418052676734,55.0,120,0.002737596330683029,True,True,False
HP:0000311,Round face,face_roundness,1,GOLD,13,13,0.42053724733319675,0.1063389047679875,0.0019115517157045864,39.0,120,0.0045630589342625615,True,True,False
HP:0000322,Short philtrum,philtrum_length,-1,GOLD,61,61,0.3905415539362054,0.11743312887950043,0.0015088975035059528,61.0,120,0.0037219471753146835,True,True,False
HP:0010804,Tented upper lip vermilion,mouth_tenting,1,GOLD,50,50,0.3397008581651752,0.13941699180680553,0.01850640876180554,55.0,120,0.03603879600983184,True,True,False
HP:0000414,Bulbous nose,nose_tip_to_bridge_ratio,1,GOLD,81,81,0.29237960055507783,0.1276683767590844,0.024646702662872947,84.0,120,0.04559639992631495,True,True,False
HP:0000219,Thin upper lip vermilion,upper_vermilion_height,-1,GOLD,149,149,0.19848715633867817,0.07583221814726522,0.009779044435617848,88.0,120,0.021283802595168256,True,True,False
