hpo_id,hpo_name,feature,direction,arm,n_patients,n_gold_patients,z,se,p,rank,n_features,q,direction_ok,passed,specific
HP:0012801,Narrow jaw,jaw_bigonial_width,-1,DISEASE,63,0,0.6346480106509778,0.09616927193923534,1.0565981946844543e-08,31.0,120,2.6414954867111358e-08,True,True,False
HP:0007946,Unilateral narrow palpebral fissure,eye_fissure_length_asym,1,DISEASE,37,0,-0.2418674413358647,0.13205923417342272,0.07531011168466578,93.0,120,0.09413763960583223,False,False,False
HP:0033142,Long nasal bridge,nose_bridge_length,1,DISEASE,33,0,-0.2732720004813111,0.17977749755737726,0.13831690187812903,52.0,120,0.13831690187812903,False,False,False
HP:0007633,Bilateral microphthalmos,eye_area_mean,-1,DISEASE,34,0,-0.45644613923249994,0.12683917616348392,0.001034438855063718,40.0,120,0.00172406475843953,False,False,False
HP:0000204,Cleft upper lip,lip_midline_x_std,1,DISEASE,223,0,-0.5242879816680248,0.03526779881210385,3.7344860358278925e-35,7.0,120,1.8672430179139461e-34,False,False,False
HP:0000202,Orofacial cleft,lip_midline_x_std,1,DISEASE,0,0,,,,,120,,False,False,False
HP:0000456,Bifid nasal tip,nose_tip_midline_dent,1,DISEASE,13,0,,,,,120,,False,False,False
HP:0002006,Tessier cleft,lip_midline_x_std,1,DISEASE,22,0,,,,,120,,False,False,False
HP:0002010,Narrow maxilla,midface_width,-1,DISEASE,14,0,,,,,120,,False,False,False
HP:0007651,Ectropion of lower eyelids,eye_lower_lid_to_iris_mean,1,DISEASE,0,0,,,,,120,,False,False,False
HP:0009927,Aplasia of the nose,nose_to_face_area_ratio,-1,DISEASE,22,0,,,,,120,,False,False,False
HP:0031623,Brow ptosis,eb_position_mean,-1,DISEASE,0,0,,,,,120,,False,False,False
HP:0200096,Triangular-shaped open mouth,mouth_triangularity,1,DISEASE,28,0,,,,,120,,False,False,False
HP:0003189,Long nose,nose_length,1,GOLD,15,15,1.512068083653285,0.26560444630596136,5.554463998276726e-05,1.0,120,0.00020551516793623886,True,True,True
HP:0012471,Thick vermilion border,vermilion_total,1,GOLD,32,32,1.365759740202065,0.19309409540810935,6.052437377842738e-08,3.0,120,3.4452335843104815e-07,True,True,True
HP:0000343,Long philtrum,philtrum_length,1,GOLD,171,171,1.3050550971993509,0.08001544031592416,1.3246637008539654e-36,1.0,120,9.802511386319344e-35,True,True,True
HP:0000232,Everted lower lip vermilion,lower_lip_eversion,1,GOLD,49,49,1.151920154755953,0.13790953901075018,6.487667217058723e-11,2.0,120,6.782898547860598e-10,True,True,True
HP:0000582,Upslanted palpebral fissure,eye_fissure_slant_mean,1,GOLD,47,47,1.1430129569420902,0.1231069719878237,4.083309884508413e-12,2.0,120,5.036082190893709e-11,True,True,True
HP:0000179,Thick lower lip vermilion,lower_vermilion_height,1,GOLD,87,87,1.1400651238351152,0.1021099069511158,2.058302549798252e-18,1.0,120,3.8078597171267665e-17,True,True,True
HP:0000316,Hypertelorism,inter_pupillary_distance,1,GOLD,194,194,1.0530692253440253,0.10507241734290965,2.672399674457823e-19,1.0,120,6.591919196995963e-18,True,True,True
HP:0000454,Flared nostrils,ala_flare_angle,1,GOLD,5,5,0.8168357230398635,0.17502843590526823,0.009540516047234214,6.0,120,0.02139388446955551,True,True,True
HP:0000347,Micrognathia,chin_height,-1,GOLD,92,92,0.8016373080191412,0.0960434207502708,7.305025345066296e-13,2.0,120,1.0811437510698118e-11,True,True,True
HP:0000331,Short chin,chin_height,-1,GOLD,26,26,0.7972685642470123,0.1798000470101881,0.0001615111352945532,1.0,120,0.0004979926671582058,True,True,True
HP:0007655,Eversion of lateral third of lower eyelids,eye_lower_lid_to_iris_mean,1,GOLD,36,36,0.7911342536785423,0.09866166725705068,1.9483047161738714e-09,7.0,120,1.441745489968665e-08,True,True,True
HP:0000337,Broad forehead,forehead_width_upper,1,GOLD,40,40,0.7815266664369038,0.16716005084648153,3.4689381536994516e-05,13.0,120,0.00013973893331026472,True,True,True
HP:0000325,Triangular face,face_triangularity,1,GOLD,133,133,0.7591063596542741,0.06957419327795547,3.746916976367527e-20,9.0,120,1.386359281255985e-18,True,True,True
HP:0000581,Blepharophimosis,eye_fissure_length_mean,-1,GOLD,19,19,0.7356058082626443,0.11188473095766159,3.549947577619939e-06,9.0,120,1.5452712984933853e-05,True,True,True
HP:0000160,Narrow mouth,mouth_width,-1,GOLD,41,41,0.7352138869232366,0.10647281751778767,2.542247976285427e-08,5.0,120,1.7102395476829234e-07,True,True,True
HP:0000275,Narrow face,face_aspect_ratio,-1,GOLD,15,15,0.6964263820559549,0.133311420761684,0.00012879875260792892,26.0,120,0.00041439598665159736,True,True,True
HP:0002263,Exaggerated cupid's bow,cupid_bow_drop,1,GOLD,38,38,0.6454669792765645,0.16008530679664026,0.0002653215492307666,18.0,120,0.0007271775793732122,True,True,True
HP:0000276,Long face,face_aspect_ratio,-1,GOLD,58,58,0.6311270795478547,0.09952625662194214,3.9470775890449964e-08,28.0,120,2.434031179911081e-07,True,True,True
HP:0000431,Wide nasal bridge,nose_bridge_width,1,GOLD,108,108,0.6138120152354252,0.08482952345683871,7.33286329498443e-11,5.0,120,6.782898547860598e-10,True,True,True
HP:0000637,Long palpebral fissure,eye_fissure_length_mean,1,GOLD,68,68,0.5737645568932356,0.10962690689241543,1.7979043390452527e-06,22.0,120,8.315307568084293e-06,True,True,True
HP:0000233,Thin vermilion border,vermilion_total,-1,GOLD,50,50,0.5275046022106361,0.1308719775886876,0.00019359925833431962,21.0,120,0.0005730538046695861,True,True,True
HP:0000574,Thick eyebrow,eb_thickness_mean,1,GOLD,80,80,0.5044420311581174,0.11513322836984108,3.587891530939229e-05,15.0,120,0.00013973893331026472,True,True,True
HP:0000219,Thin upper lip vermilion,upper_vermilion_height,-1,GOLD,149,149,0.46290681574789305,0.0666470581241111,1.1093000479397004e-10,30.0,120,9.120911505281981e-10,True,True,True
HP:0009765,Low hanging columella,columella_hang_below_ala,1,GOLD,37,37,0.45512189613032117,0.12628567962990303,0.0009405213259062247,47.0,120,0.002485663504180737,True,True,False
HP:0000311,Round face,face_roundness,1,GOLD,13,13,0.4549429280757662,0.10712630080940883,0.0011337347682409194,30.0,120,0.0028929783741320015,True,True,True
HP:0000486,Strabismus,gaze_asym_norm,1,GOLD,128,128,0.4484107179144104,0.11320923671104076,0.00012371354751223996,19.0,120,0.00041439598665159736,True,True,True
HP:0002553,Highly arched eyebrow,eb_arch_mean,1,GOLD,82,82,0.4362824692387333,0.11248154840418953,0.00021269042903742448,52.0,120,0.0006053496826449774,True,True,False
HP:0000154,Wide mouth,mouth_width,1,GOLD,132,132,0.36981779868474707,0.07104022015817431,7.28017643205682e-07,59.0,120,3.8480932569443195e-06,True,True,False
HP:0000494,Downslanted palpebral fissures,eye_fissure_slant_mean,-1,GOLD,163,163,0.19827455738242591,0.06966668851680895,0.004999210673486849,87.0,120,0.012331386327934228,True,True,False
HP:0001090,Abnormally large globe,eye_area_mean,1,GOLD,2,2,1.048930133385123,0.7279406456014782,,34.0,120,,True,False,False
HP:0011822,Broad chin,chin_width,1,GOLD,4,4,1.0328630650241002,0.46624822423151996,0.11354293812579612,15.0,120,0.19095857775702074,True,False,False
HP:0011229,Broad eyebrow,eb_thickness_mean,1,GOLD,9,9,0.9873499110704551,0.39137948596769473,0.03565611714068965,6.0,120,0.06943559653713247,True,False,False
HP:0007933,Broad lateral eyebrow,eb_lateral_thickness_mean,1,GOLD,2,2,0.9163459575050438,0.024539572807831922,,25.0,120,,True,False,False
HP:0000215,Thick upper lip vermilion,upper_vermilion_height,1,GOLD,9,9,0.7758586150162002,0.35922964141689023,0.06281048207663553,12.0,120,0.11066608746835783,True,False,False
HP:0009890,High anterior hairline,forehead_height,1,GOLD,6,6,0.691441094645913,0.25895400671626617,0.04434154786975283,34.0,120,0.08413524467594126,True,False,False
HP:0000321,Square face,face_width_uniformity,1,GOLD,12,12,0.6563403966248629,0.2741095025203777,0.03558048338943114,15.0,120,0.06943559653713247,True,False,False
HP:0012811,Wide nasal ridge,nose_bridge_width,1,GOLD,4,4,0.4500119046444774,0.43503330159843173,0.3770087983130758,53.0,120,0.516641686577178,True,False,False
HP:0000568,Microphthalmia,eye_area_mean,-1,GOLD,1,1,0.39445372771490955,,,69.0,120,,True,False,False
HP:0002003,Large forehead,forehead_height,1,GOLD,6,6,0.34510492606263465,0.19904877092912626,0.14349237501545758,71.0,120,0.23083555980747525,True,False,False
HP:0000506,Telecanthus,canthal_to_pupillary_ratio,1,GOLD,19,19,0.30395301404014036,0.24130498994908273,0.22389435447593622,58.0,120,0.3248663182592016,True,False,False
HP:0010804,Tented upper lip vermilion,mouth_tenting,1,GOLD,50,50,0.28699642969045686,0.14401709576789606,0.051868926254512206,65.0,120,0.09595751357084759,True,False,False
HP:0000322,Short philtrum,philtrum_length,-1,GOLD,61,61,0.2525289135871768,0.11401932247943185,0.030583141255209008,81.0,120,0.0628653459134852,True,False,False
HP:0000286,Epicanthus,gaze_asym_x,1,GOLD,73,73,0.24476418509957013,0.1267463607680534,0.05740364891646591,88.0,120,0.10360658584923116,True,False,False
HP:0012745,Short palpebral fissure,eye_fissure_length_mean,-1,GOLD,27,27,0.20460306920693416,0.16189307331001804,0.21751025187330442,68.0,120,0.32191517277249054,True,False,False
HP:0000348,High forehead,forehead_height,1,GOLD,50,50,0.18797871888165205,0.122437191777069,0.13114077780972738,97.0,120,0.2156537235093295,True,False,False
HP:0000414,Bulbous nose,nose_tip_to_bridge_ratio,1,GOLD,81,81,0.1781707845794014,0.12219310947007027,0.14872547798371752,93.0,120,0.23142651156478225,True,False,False
HP:0000601,Hypotelorism,inter_pupillary_distance,-1,GOLD,5,5,0.17069272248232534,0.5706567827534778,0.7797484721116913,100.0,120,0.8515826931564413,True,False,False
HP:0000307,Pointed chin,chin_pointedness_angle,-1,GOLD,56,56,0.1684528924506535,0.11541783049182748,0.15011449398796686,90.0,120,0.23142651156478225,True,False,False
HP:0001488,Bilateral ptosis,eye_upper_lid_to_iris_mean,-1,GOLD,12,12,0.15634219382419443,0.19333509445652736,0.4358523058872771,73.0,120,0.5864194661028819,True,False,False
HP:0010803,Everted upper lip vermilion,upper_lip_eversion,1,GOLD,10,10,0.14600899602374867,0.4628741339597683,0.7596192669296777,89.0,120,0.8515826931564413,True,False,False
