feature,race_eta2,race_p,age_eta2,age_p,race_q,age_q,res_drift_224
eb_thickness_r,0.08640752606012415,6.1656243546606036e-18,0.007125296374171825,0.04347249197310996,2.9594996902370895e-17,0.05434061496638745,0.0214466403439037
eb_thickness_l,0.09016334932946564,1.0126582701825766e-18,0.013297399258796666,0.0028228036632774716,5.063291350912883e-18,0.004342774866580725,0.0124232619032381
eb_thickness_mean,0.09836836313784672,1.9066842512092614e-20,0.011070536008276406,0.007585622598967787,1.0895338578338638e-19,0.01096716520332692,0.0250112913520134
eb_thickness_asym,0.0021958170013909916,0.38139318907052117,0.010606164211677505,0.00931953646686035,0.42773067933142556,0.013313623524086216,0.0058375749647884
eb_inter_distance,0.07982186801488089,1.438241051814076e-16,0.006009735399280373,0.07113189303738941,6.638035623757274e-16,0.0871002771886401,0.0186267599643189
eb_arch_r,0.041702202494960976,7.726180710066564e-09,0.010526498863775257,0.009654452476133705,2.0603148560177504e-08,0.013629815260424052,0.0045557758708982
eb_arch_l,0.03246610289328901,5.183510623910473e-07,0.015515243558425517,0.001052312540855176,1.0367021247820946e-06,0.0016615461171397517,0.0020110744617324
eb_arch_mean,0.04566135578826755,1.2576236644950699e-09,0.015803215681953243,0.0009256172626446902,3.680849749741668e-09,0.0015010009664508488,0.0094149019425927
eb_arch_asym,0.0008647599091039874,0.6842983501690422,0.0006940084299287159,0.7375448738902166,0.7018444617118381,0.7564562809130427,0.0139097468732006
eb_position_r,0.035683201396602825,1.2032410125407048e-07,0.012689823041819863,0.003697511910821424,2.5783735983015104e-07,0.005546267866232136,0.0199700321350068
eb_position_l,0.03892108569357651,2.75323342067495e-08,0.011106891127666791,0.007464319119863908,6.353615586172962e-08,0.010923393833947182,0.0231147083748391
eb_position_mean,0.03831890477319283,3.623498042953838e-08,0.012134185153196636,0.004732102066569186,8.204146512348313e-08,0.007010521580102498,0.0196992627194519
eb_position_asym,0.010001360033576588,0.012183476007944845,0.006673623067617177,0.053067416248438505,0.01804706639745503,0.06565041185373835,0.0175327140422293
eb_medial_flare_r,0.0013986544392105985,0.541322923935327,0.024024541464990813,2.3386026129371544e-05,0.5748562024091968,4.1885419933202763e-05,0.0511634058704129
eb_medial_flare_l,0.0023128933500709005,0.3622653161125917,0.030540782836814436,1.2393816818836628e-06,0.4101116786180284,2.2534212397884775e-06,0.026616831683007
eb_lateral_thickness_r,0.004436617816667694,0.1423046148261687,0.056488502375788195,8.445897674589206e-12,0.17788076853271087,2.7392100566235262e-11,0.0764872771868172
eb_lateral_thickness_l,0.0017322403567079786,0.4675513713125496,0.06604147240097868,9.742019960407253e-14,0.5054609419595131,3.8968079841629014e-13,0.0714014682198367
eb_medial_flare_mean,0.0020997731509743707,0.39783474811321945,0.033077995904758024,3.9277874872318123e-07,0.4420386090146883,7.481499975679643e-07,0.0849676152834977
eb_lateral_thickness_mean,0.003071794277442362,0.25948539413800864,0.06456353501305907,1.9488058168685626e-13,0.3052769342800102,7.543764452394435e-13,0.0998314931323567
eb_lateral_thickness_asym,2.5387557864111892e-05,0.9889291524774267,0.0012718271246831088,0.572323354799612,0.9904291004023948,0.6127068858694471,0.031983481055469
eye_fissure_length_r,0.21096882142433313,7.512616518066301e-46,0.0009199030780937896,0.6679358468502212,2.2537849554198905e-44,0.6909681174312633,0.0464666796583517
eye_fissure_height_r,0.04214710141423535,6.30277216729437e-09,0.04000463081005652,1.678869957511868e-08,1.7189378638075555e-08,3.534463068446038e-08,0.0124041163196389
eye_fissure_length_l,0.2422379704552731,1.4967530349376682e-53,0.0010342608837100675,0.6352363846318309,8.98051820962601e-52,0.668669878559822,0.0447455835385972
eye_fissure_height_l,0.03906696715202734,2.5759318888025006e-08,0.04467813028990232,1.97538702635844e-09,6.182236533126001e-08,4.558585445442553e-09,0.0134205564193812
