hpo_id,hpo_name,feature,direction,arm,n_patients,n_gold_patients,z,se,p,rank,n_features,q,direction_ok,passed,specific
HP:0012801,Narrow jaw,jaw_bigonial_width,-1,DISEASE,75,0,0.5911736569958521,0.10023873310245765,1.0255173262492933e-07,35.0,120,4.102069304997173e-07,True,True,False
HP:0000456,Bifid nasal tip,nose_tip_midline_dent,1,DISEASE,31,0,0.22862934988910716,0.11496153018939952,0.05591781019463951,86.0,120,0.07455708025951935,True,False,False
HP:0009927,Aplasia of the nose,nose_to_face_area_ratio,-1,DISEASE,47,0,-0.05783166948779687,0.16366214922749356,0.7254328386424327,107.0,120,0.7254328386424327,False,False,False
HP:0007946,Unilateral narrow palpebral fissure,eye_fissure_length_asym,1,DISEASE,48,0,-0.1691227445154508,0.13407709633865664,0.2133953179806469,101.0,120,0.2438803634064536,False,False,False
HP:0033142,Long nasal bridge,nose_bridge_length,1,DISEASE,48,0,-0.3667303662476434,0.16154772114718513,0.027828606231344664,40.0,120,0.044525769970151466,False,False,False
HP:0007633,Bilateral microphthalmos,eye_area_mean,-1,DISEASE,40,0,-0.43787403228116706,0.10887021387442342,0.00025642173348709626,48.0,120,0.0005128434669741925,False,False,False
HP:0002006,Tessier cleft,lip_midline_x_std,1,DISEASE,47,0,-0.4710998576550912,0.09401711723919268,8.47770844933378e-06,20.0,120,2.260722253155675e-05,False,False,False
HP:0000204,Cleft upper lip,lip_midline_x_std,1,DISEASE,292,0,-0.5471336986368949,0.031079720565579817,9.815226783546791e-48,11.0,120,7.852181426837433e-47,False,False,False
HP:0000202,Orofacial cleft,lip_midline_x_std,1,DISEASE,0,0,,,,,120,,False,False,False
HP:0002010,Narrow maxilla,midface_width,-1,DISEASE,18,0,,,,,120,,False,False,False
HP:0007651,Ectropion of lower eyelids,eye_lower_lid_to_iris_mean,1,DISEASE,0,0,,,,,120,,False,False,False
HP:0031623,Brow ptosis,eb_position_mean,-1,DISEASE,0,0,,,,,120,,False,False,False
HP:0200096,Triangular-shaped open mouth,mouth_triangularity,1,DISEASE,28,0,,,,,120,,False,False,False
HP:0003189,Long nose,nose_length,1,GOLD,15,15,1.5987006004942972,0.2695792329921869,3.6700350489656054e-05,1.0,120,0.000130119424463326,True,True,True
HP:0000582,Upslanted palpebral fissure,eye_fissure_slant_mean,1,GOLD,59,59,1.2033671669823045,0.10979434142055812,9.306825192929003e-16,1.0,120,1.0370462357835174e-14,True,True,True
HP:0000343,Long philtrum,philtrum_length,1,GOLD,200,200,1.2028311744691194,0.07107193885064891,2.1460475846565617e-40,1.0,120,1.673917116032118e-38,True,True,True
HP:0000232,Everted lower lip vermilion,lower_lip_eversion,1,GOLD,60,60,1.141032543684855,0.12570496711161722,8.50113914231886e-13,2.0,120,7.367653923343012e-12,True,True,True
HP:0000179,Thick lower lip vermilion,lower_vermilion_height,1,GOLD,100,100,1.1043816956066095,0.09944238072933484,4.309271451390982e-19,2.0,120,8.403079330212415e-18,True,True,True
HP:0000316,Hypertelorism,inter_pupillary_distance,1,GOLD,238,238,1.0984323232984199,0.09562888769175983,1.4386670769073928e-24,5.0,120,5.610801599938833e-23,True,True,True
HP:0012471,Thick vermilion border,vermilion_total,1,GOLD,44,44,1.0762567338801656,0.1821513686426481,4.965412154473195e-07,8.0,120,2.4206384253056824e-06,True,True,True
HP:0011229,Broad eyebrow,eb_thickness_mean,1,GOLD,16,16,0.9263853235418664,0.23382972676795505,0.0012530539631917304,8.0,120,0.003054319035279843,True,True,True
HP:0000337,Broad forehead,forehead_width_upper,1,GOLD,60,60,0.8991270084218221,0.1266896824573186,1.8529364115228663e-09,2.0,120,1.1117618469137198e-08,True,True,True
HP:0000347,Micrognathia,chin_height,-1,GOLD,112,112,0.8980477883038286,0.08725214952050869,7.567309016124474e-18,1.0,120,1.1805002065154178e-16,True,True,True
HP:0000331,Short chin,chin_height,-1,GOLD,32,32,0.8728340136056008,0.1599498901892747,5.7930841366225545e-06,1.0,120,2.3782134876661015e-05,True,True,True
HP:0009890,High anterior hairline,forehead_height,1,GOLD,8,8,0.859589717888366,0.23953065915491906,0.008873203523000826,18.0,120,0.018213417757738538,True,True,True
HP:0000321,Square face,face_width_uniformity,1,GOLD,12,12,0.8584140375238035,0.27680484276179873,0.010083381620571924,3.0,120,0.02016676324114385,True,True,True
HP:0000431,Wide nasal bridge,nose_bridge_width,1,GOLD,124,124,0.8066113953346348,0.08400325173621684,1.2441053808385103e-16,2.0,120,1.6173369950900634e-15,True,True,True
HP:0000325,Triangular face,face_triangularity,1,GOLD,165,165,0.7515937914208115,0.06848368842433833,2.323735815507565e-21,18.0,120,6.041713120319669e-20,True,True,True
HP:0000275,Narrow face,face_aspect_ratio,-1,GOLD,16,16,0.7124483839480478,0.12733056394741005,5.110218757765502e-05,24.0,120,0.0001733030709155257,True,True,True
HP:0000276,Long face,face_aspect_ratio,-1,GOLD,83,83,0.7105226030619992,0.08144213662751636,2.545551014047963e-13,21.0,120,2.481912238696764e-12,True,True,True
HP:0000581,Blepharophimosis,eye_fissure_length_mean,-1,GOLD,19,19,0.7063147171854948,0.11639848751865417,9.806278389939789e-06,10.0,120,3.683028794861388e-05,True,True,True
