hpo_id,hpo_name,feature,direction,arm,n_patients,n_gold_patients,z,se,p,rank,n_features,q,direction_ok,passed,specific
HP:0012801,Narrow jaw,jaw_bigonial_width,-1,DISEASE,75,0,0.6391872319361858,0.09813812823452682,7.834924061972179e-09,28.0,120,3.1339696247888715e-08,True,True,True
HP:0000456,Bifid nasal tip,nose_tip_midline_dent,1,DISEASE,31,0,0.1940406134633032,0.11318110100221684,0.09676560299495875,90.0,120,0.12902080399327834,True,False,False
HP:0009927,Aplasia of the nose,nose_to_face_area_ratio,-1,DISEASE,47,0,0.10644264549267013,0.1559333459384632,0.49827273245656095,92.0,120,0.49827273245656095,True,False,False
HP:0007946,Unilateral narrow palpebral fissure,eye_fissure_length_asym,1,DISEASE,48,0,-0.17603503773249504,0.13122119632213136,0.1862000119737961,100.0,120,0.2128000136843384,False,False,False
HP:0007633,Bilateral microphthalmos,eye_area_mean,-1,DISEASE,40,0,-0.44523436162987,0.11037056663252129,0.00024735452328175037,46.0,120,0.0004947090465635007,False,False,False
HP:0002006,Tessier cleft,lip_midline_x_std,1,DISEASE,47,0,-0.46779162677764946,0.09179878720746207,6.3683598015089305e-06,31.0,120,1.6982292804023816e-05,False,False,False
HP:0033142,Long nasal bridge,nose_bridge_length,1,DISEASE,48,0,-0.4712129907612684,0.1555652257591027,0.003977762077849365,31.0,120,0.006364419324558984,False,False,False
HP:0000204,Cleft upper lip,lip_midline_x_std,1,DISEASE,292,0,-0.542031452394691,0.030346395831393223,1.0879888067549286e-48,6.0,120,8.703910454039429e-48,False,False,False
HP:0000202,Orofacial cleft,lip_midline_x_std,1,DISEASE,0,0,,,,,120,,False,False,False
HP:0002010,Narrow maxilla,midface_width,-1,DISEASE,18,0,,,,,120,,False,False,False
HP:0007651,Ectropion of lower eyelids,eye_lower_lid_to_iris_mean,1,DISEASE,0,0,,,,,120,,False,False,False
HP:0031623,Brow ptosis,eb_position_mean,-1,DISEASE,0,0,,,,,120,,False,False,False
HP:0200096,Triangular-shaped open mouth,mouth_triangularity,1,DISEASE,28,0,,,,,120,,False,False,False
HP:0003189,Long nose,nose_length,1,GOLD,15,15,1.512068083653285,0.26560444630596136,5.554463998276726e-05,1.0,120,0.0001805200799439936,True,True,True
HP:0000343,Long philtrum,philtrum_length,1,GOLD,200,200,1.2649038102355328,0.07247079644130777,5.426662940417897e-42,1.0,120,4.232797093525959e-40,True,True,True
HP:0000582,Upslanted palpebral fissure,eye_fissure_slant_mean,1,GOLD,59,59,1.166732350536029,0.1104629849937234,3.931866030936819e-15,1.0,120,5.111425840217865e-14,True,True,True
HP:0000232,Everted lower lip vermilion,lower_lip_eversion,1,GOLD,60,60,1.1213894669013007,0.12321358364920526,7.751079600263268e-13,2.0,120,7.557302610256687e-12,True,True,True
HP:0000179,Thick lower lip vermilion,lower_vermilion_height,1,GOLD,100,100,1.0997674426195077,0.09807937017229411,2.5253698740094075e-19,2.0,120,4.924471254318345e-18,True,True,True
