disease,omim
ADNP-related_multiple_congenital_anomalies_-_intellectual_disability_-_autism_spectrum_disorder,OMIM:615873
Alagille_syndrome_due_to_a_JAG1_point_mutation,OMIM:118450
Angelman_syndrome,OMIM:105830
Au-Kline_syndrome,OMIM:616580
Baraitser-Winter_syndrome_1,OMIM:243310
Coffin-Siris_syndrome_1,OMIM:135900
Cohen_syndrome,OMIM:216550
Cornelia_de_Lange_syndrome_1,OMIM:122470
Costello_syndrome,OMIM:218040
Crouzon_syndrome,OMIM:123500
Ehlers-Danlos_syndrome_classic_type_1,OMIM:130000
Floating-Harbor_syndrome,OMIM:136140
Hao-Fountain_syndrome_due_to_USP7_mutation,OMIM:616863
Hurler_syndrome,OMIM:607014
Hutchinson-Gilford_progeria_syndrome,OMIM:176670
Joubert_syndrome_1,OMIM:213300
KBG_syndrome,OMIM:148050
Kabuki_syndrome_1,OMIM:147920
Kleefstra_syndrome_1,OMIM:610253
Koolen-de_Vries_syndrome,OMIM:610443
Menke-Hennekam_syndrome_1,OMIM:618332
Mowat-Wilson_syndrome,OMIM:235730
Noonan_syndrome_1,OMIM:163950
Ogden_syndrome,OMIM:300855
Pitt-Hopkins_syndrome,OMIM:610954
Prader-Willi_syndrome,OMIM:176270
Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,OMIM:180849
Schaaf-Yang_syndrome,OMIM:615547
Smith-Lemli-Opitz_syndrome,OMIM:270400
Smith-Magenis_syndrome,OMIM:182290
Sotos_syndrome,OMIM:117550
Treacher_Collins_syndrome_1,OMIM:154500
Weaver_syndrome,OMIM:277590
Wiedemann-Steiner_syndrome,OMIM:605130
Williams_syndrome,OMIM:194050
arthrogryposis_distal_type_1A,OMIM:108120
autosomal_dominant_intellectual_disability-craniofacial_anomalies-cardiac_defects_syndrome,OMIM:616268
autosomal_recessive_Robinow_syndrome,OMIM:268310
blepharophimosis_-_intellectual_disability_syndrome_SBBYS_type,OMIM:603736
cardiofaciocutaneous_syndrome_1,OMIM:115150
cutis_laxa_autosomal_dominant_1,OMIM:123700
fragile_X_syndrome,OMIM:300624
holoprosencephaly_1,OMIM:236100
hyperphosphatasia_with_intellectual_disability_syndrome_1,OMIM:239300
intellectual_disability-microcephaly-strabismus-behavioral_abnormalities_syndrome,OMIM:616364
intellectual_disability-sparse_hair-brachydactyly_syndrome,OMIM:601358
intellectual_disability_X-linked_syndromic_33,OMIM:300966
intellectual_disability_autosomal_dominant_5,OMIM:612621
intellectual_disability_autosomal_dominant_50,OMIM:617787
mucolipidosis_type_II,OMIM:252500
