feature,mean,sd,n
eb_thickness_r,0.01553978445,0.002981686013,886
eb_thickness_l,0.01565399768,0.002996519209,886
eb_thickness_mean,0.01559689107,0.001776710259,886
eb_thickness_asym,0.2493407429,0.1739594159,886
eb_inter_distance,0.1928085336,0.01381957516,886
eb_arch_r,0.1390481815,0.02664922445,886
eb_arch_l,0.1369265927,0.02450670502,886
eb_arch_mean,0.1379873871,0.01685569031,886
eb_arch_asym,0.2139540353,0.1562716657,886
eb_position_r,0.2584892374,0.06596700967,886
eb_position_l,0.2611575508,0.0644671527,886
eb_position_mean,0.2598233941,0.06390866325,886
eb_position_asym,0.07852588339,0.07224939747,886
eb_medial_flare_r,-0.06510247564,0.0806760351,886
eb_medial_flare_l,-0.07443175524,0.08190891656,886
eb_lateral_thickness_r,0.01898792956,0.002843283309,886
eb_lateral_thickness_l,0.01914169041,0.002965928135,886
eb_medial_flare_mean,-0.06976711544,0.04050150128,886
eb_lateral_thickness_mean,0.01906480998,0.002239077153,886
eb_lateral_thickness_asym,0.1450282938,0.1326875619,886
eye_fissure_length_r,0.1951666195,0.01833879746,886
eye_fissure_height_r,0.06244555264,0.0211000551,886
eye_fissure_length_l,0.1954729906,0.01697714288,886
eye_fissure_height_l,0.06229325481,0.02064532479,886
eye_fissure_length_mean,0.195319805,0.01270963715,886
eye_fissure_height_mean,0.06236940373,0.02072842867,886
eye_fissure_length_asym,0.1011166471,0.07254408627,886
eye_fissure_height_asym,0.08209709912,0.1245887591,886
eye_fissure_slant_r,3.068752869,4.279230349,886
eye_fissure_slant_l,3.824634639,4.507075429,886
eye_fissure_slant_mean,3.446693754,2.292472121,886
eye_fissure_slant_asym,5.467792826,5.183708297,886
eye_fissure_aspect_r,0.3196052768,0.1021683336,886
eye_fissure_aspect_l,0.317887375,0.09949541328,886
eye_fissure_aspect_mean,0.3187463259,0.09792128573,886
inter_canthal_distance,0.2555661861,0.01636373365,886
inter_pupillary_distance,0.4571366049,0.02725575541,886
outer_canthal_distance,0.6451616685,0.03197902856,886
canthal_to_pupillary_ratio,0.5597123946,0.02992564087,886
eye_epicanthus_angle_r,62.76448033,16.76801754,886
eye_epicanthus_angle_l,59.96469252,15.9705681,886
eye_epicanthus_angle_mean,61.36458643,16.05082925,886
eye_epicanthus_angle_asym,0.1037081069,0.1192647266,886
eye_upper_lid_to_iris_r,0.02894545034,0.01161799936,886
eye_lower_lid_to_iris_r,0.03227978874,0.01029797048,886
eye_upper_lid_to_iris_l,0.02940319564,0.01148061619,886
eye_lower_lid_to_iris_l,0.03178477968,0.01009854172,886
eye_upper_lid_to_iris_mean,0.02917432299,0.01146258313,886
eye_upper_lid_to_iris_asym,-2.290552241,71.07415593,886
eye_lower_lid_to_iris_mean,0.03203228421,0.01010205509,886
eye_lower_lid_to_iris_asym,0.08563401081,0.1106442458,886
eye_area_r,0.008278393021,0.003237115676,886
eye_area_l,0.008316412579,0.003162559724,886
eye_area_mean,0.0082974028,0.003147579399,886
eye_area_asym,0.1242520292,0.1242117108,886
eye_fissure_fill_r,0.2151209852,0.07163332699,886
eye_fissure_fill_l,0.2151958118,0.07033231716,886
eye_fissure_fill_mean,0.2151583985,0.06869896225,886
iris_offset_x_r,-0.01617658133,0.06561742597,886
iris_offset_y_r,-0.06039209808,0.03264145624,886
iris_offset_x_l,0.01660912173,0.06771461365,886
iris_offset_y_l,-0.05969527116,0.03260946479,886
gaze_asym_x,-0.03278570306,0.07053611334,886
gaze_asym_y,-0.0006968269207,0.01061026019,886
gaze_asym_norm,0.06596769565,0.04251905269,886
nose_length,0.3255131336,0.03077137011,886
nose_bridge_length,0.8600992161,0.02085770379,886
nose_bridge_width,0.07791602069,0.004039717244,886
nose_tip_width,0.08159751399,0.005072880988,886
nose_base_width,0.2419433826,0.02801825173,886
nose_tip_to_bridge_ratio,1.047072933,0.02998956378,886
nose_tip_midline_dent,0.04175410097,0.004880156154,886
nose_ala_height_r,0.06631117237,0.005984388392,886
nose_ala_height_l,0.06649030633,0.005930415277,886
nose_ala_height_mean,0.06640073935,0.005791656743,886
nose_ala_height_asym,0.03184685445,0.02819256442,886
nasolabial_angle,161.2742444,12.08829426,886
nose_tip_elevation,0.04657546302,0.006215129615,886
ala_flare_angle,169.4428195,7.603408278,886
columella_length,0.1441640598,0.02003004837,886
columella_hang_below_ala,0.03389350047,0.0295141096,886
nose_to_face_area_ratio,0.03568237687,0.005118711308,886
philtrum_length,0.2926867997,0.05923439131,886
philtrum_width,0.1140477353,0.01868352175,886
mouth_width,0.3809698949,0.06507830398,886
mouth_opening,0.05971005935,0.05392280106,886
upper_vermilion_height,0.04128676957,0.009738071076,886
lower_vermilion_height,0.0660142336,0.01264673101,886
vermilion_total,0.1073010032,0.02091552644,886
cupid_bow_drop,0.008268870546,0.001913965093,886
mouth_corner_drop,0.05745000663,0.02735783632,886
mouth_triangularity,0.06571887717,0.02664100037,886
mouth_tenting,0.5970330871,0.2617065791,886
mouth_upper_curvature_c2,1.765688065,1.041394216,886
upper_lip_eversion,0.02999346121,0.006823603286,886
lower_lip_eversion,0.04219802733,0.008555395363,886
lip_midline_x_std,0.007245199859,0.006058652789,886
chin_height,0.1665123634,0.02399628936,886
chin_width,0.3212259762,0.02150559572,886
chin_pointedness_angle,154.29504,4.60154475,886
jaw_bigonial_width,0.7882896077,0.0265919418,886
forehead_height,0.2142148812,0.02500110282,886
forehead_width_upper,0.7260922263,0.03097526109,886
forehead_width_mid,0.8667829501,0.03085991531,886
forehead_taper_ratio,0.8374908359,0.008056363332,886
face_aspect_ratio,0.8933182841,0.06494769142,886
face_roundness,0.9582619328,0.01531566881,886
face_width_uniformity,0.8275362789,0.01534375541,886
jaw_to_forehead_ratio,0.9110859477,0.0538297657,886
face_triangularity,0.6287559478,0.03039123576,886
face_asymmetry,0.07182924768,0.04565659138,886
midface_width,0.5848541444,0.02864269828,886
malar_bulge_r,0.04274161823,0.06792323069,886
malar_bulge_l,0.04705085772,0.06719841653,886
malar_bulge_mean,0.04489623798,0.007694950236,886
malar_bulge_asym,2.563589489,1.992955623,886
cheek_area_r,0.01063647549,0.007546154007,886
cheek_area_l,0.01098793393,0.007661170111,886
cheek_area_mean,0.01081220471,0.004572749805,886
cheek_area_asym,1.040448972,0.4974155047,886
